id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state
6278727,https://www.boattrader.com/listing/2016-nordic-tugs-26-103087462/,power,power-tug,Nordic Tugs,26,2016,used,26,9.5,8500,2017-06-22T11:56:37.000Z,fiberglass,diesel,1,150,2015,2015,inboard,239000,Fort Lauderdale,US,FL
7041223,https://www.boattrader.com/listing/2019-suncatcher-v-20-c-103547106/,power,power-pontoon,SunCatcher,V 20 C,2019,new,20,8.42,,2019-04-06T11:29:40.000Z,other,gasoline,1,25,,,outboard,25939,Howell,US,MI
7133657,https://www.boattrader.com/listing/2020-sea-ray-320-sundancer-103676092/,power,power-sportcruiser,Sea Ray,320 Sundancer,2020,new,32,,,2019-07-01T10:37:24.000Z,fiberglass,gasoline,2,700,,,,,Afton,US,OK
7253759,https://www.boattrader.com/listing/1982-bayfield-29-bayfield-103702325/,sail,sail-cruiser,Bayfield,29 Bayfield,1982,used,29,10.17,7100,2019-10-17T08:31:18.000Z,fiberglass,diesel,1,15,1982,1982,inboard,24500,Groton,US,CT
7215360,https://www.boattrader.com/listing/2014-defever-euro-pilothouse-103699974/,power,power-trawler,DeFever,Euro Pilothouse,2014,used,52,16,695000,2019-09-12T06:16:13.000Z,fiberglass,diesel,2,600,2014,2014,inboard,779000,Fort Myers,US,FL
7231317,https://www.boattrader.com/listing/1998-mainship-47-motoryacht-103685747/,power,power-motor,Mainship,47 Motoryacht,1998,used,47,15.42,44000,2019-09-26T11:07:10.000Z,fiberglass,diesel,4,1940,1998,1998,inboard,129900,Hampton,US,VA
7032027,https://www.boattrader.com/listing/2016-boston-whaler-420-outrage-103543042/,power,power-sportfish,Boston Whaler,420 Outrage,2016,used,42,13,22000,2019-03-28T11:10:07.000Z,fiberglass,gasoline,4,1400,,,outboard,649900,Boston,US,MA
7227883,https://www.boattrader.com/listing/2018-azimut-verve-40-103703242/,power,power-mega,Azimut,Verve 40,2018,used,40,,,2019-09-24T05:38:32.000Z,fiberglass,gasoline,3,1050,,,outboard,623186,Pompano Beach,US,FL
7174884,https://www.boattrader.com/listing/2006-nauticstar-22-bx-103644507/,power,power-center,NauticStar,22 BX,2006,used,22,8.5,,2019-08-07T04:30:51.000Z,fiberglass,gasoline,0,,,,,19900,Ruskin,US,FL
7255062,https://www.boattrader.com/listing/2020-starcraft-191-svx-103703233/,power,power-deck,Starcraft,191 SVX,2020,new,19,8.5,,2019-10-18T07:11:35.000Z,fiberglass,gasoline,0,,,,,,Fort Myers,US,FL
6822064,https://www.boattrader.com/listing/2019-boston-whaler-170-montauk-103436569/,power,power-sportfish,Boston Whaler,170 Montauk,2019,new,17,7.25,1700,2018-08-27T12:04:53.000Z,fiberglass,gasoline,1,115,,,outboard,,Huntington,US,NY
7255049,https://www.boattrader.com/listing/2020-cape-horn-31t-103703225/,power,power-sportfish,Cape Horn,31T,2020,new,31,9.08,,2019-10-18T06:57:17.000Z,fiberglass,gasoline,0,,,,,,Fort Myers,US,FL
6925391,https://www.boattrader.com/listing/2019-lund-1875-impact-sport-103466819/,power,power-aluminum,Lund,1875 Impact Sport,2019,new,18.92,8,1410,2018-12-01T09:13:40.000Z,aluminum,gasoline,1,150,,,outboard,37684,Princeton,US,WI
7112947,https://www.boattrader.com/listing/2006-c-marine-classy-21-103602084/,power,power-util,C Marine,Classy 21,2006,used,21,7,,2019-06-13T17:38:57.000Z,fiberglass,gasoline,1,9,2006,2006,outboard-4s,13900,Ruskin,US,FL
7174941,https://www.boattrader.com/listing/2017-sea-ray-sdx-290-outboard-103644546/,power,power-deck,Sea Ray,SDX 290 Outboard,2017,used,29,9,7030,2019-08-07T06:15:05.000Z,fiberglass,gasoline,2,450,2017,2017,outboard-4s,128200,Tampa,US,FL
6911134,https://www.boattrader.com/listing/2019-sea-ray-sdx-270-outboard-103458058/,power,power-other,Sea Ray,SDX 270 Outboard,2019,new,27,8.5,5660,2018-11-14T13:58:37.000Z,fiberglass,gasoline,1,300,,,outboard,,Pompano Beach,US,FL
7205935,https://www.boattrader.com/listing/2020-alumacraft-classic-165-103668295/,power,power-fresh,Alumacraft,Classic 165,2020,new,16.33,6.83,778,2019-09-05T08:22:33.000Z,aluminum,gasoline,1,50,2020,2020,outboard,19995,Anaheim,US,CA
7255040,https://www.boattrader.com/listing/2020-bulls-bay-2200-103703217/,power,power-bay,Bulls Bay,2200,2020,new,22,8.5,,2019-10-18T06:47:49.000Z,fiberglass,gasoline,0,,,,,,Fort Myers,US,FL
7255109,https://www.boattrader.com/listing/2019-yellowfin-17-skiff-103703261/,power,power-skiff,Yellowfin,17 Skiff,2019,new,17.33,6.67,600,2019-10-18T07:50:47.000Z,fiberglass,gasoline,1,0,,,outboard,,Pasadena,US,MD
7255083,https://www.boattrader.com/listing/2007-formula-330-sun-sport-103703263/,power,power-cruiser,Formula,330 Sun Sport,2007,used,34.42,10.17,10950,2019-10-18T07:29:01.000Z,fiberglass,gasoline,2,0,,,,79990,Punta Gorda,US,FL
7254629,https://www.boattrader.com/listing/2015-beneteau-mc4-103702953/,power,power-flybridge,Beneteau,MC4,2015,used,45,13.42,26499,2019-10-17T21:17:07.000Z,fiberglass,diesel,2,740,2015,2015,inboard,600000,Milwaukee,US,WI
7112382,https://www.boattrader.com/listing/2020-scout-215-xsf-103668407/,power,power-sportfish,Scout,215 XSF,2020,new,21,8.5,2776,2019-06-13T11:03:26.000Z,fiberglass,gasoline,1,150,,,outboard,,Miami,US,FL
7255105,https://www.boattrader.com/listing/2008-rosborough-246-103703258/,power,power-cruiser,Rosborough,246,2008,used,25,8.5,,2019-10-18T07:47:18.000Z,fiberglass,gasoline,1,225,,,outboard,75000,LeRoy,US,NY
6945970,https://www.boattrader.com/listing/2019-four-winns-h-350-103480350/,power,power-bowrider,Four Winns,H 350,2019,new,35,10.75,,2018-12-31T09:52:22.000Z,other,gasoline,2,0,,,inboard-outboard,,Wayzata,US,MN
7170464,https://www.boattrader.com/listing/2017-tiara-39-coupe-103641335/,power,power-cruiser,Tiara,39 Coupe,2017,used,39,13.25,23290,2019-08-05T06:44:47.000Z,fiberglass,diesel,2,740,2018,2018,inboard,569000,Vero Beach,US,FL
7255080,https://www.boattrader.com/listing/2018-starcraft-230-dh-103703262/,power,power-deck,Starcraft,230 DH,2018,new,23,8.5,,2019-10-18T07:26:43.000Z,fiberglass,gasoline,0,,,,,,Fort Myers,US,FL
6473676,https://www.boattrader.com/listing/2018-sailfish-325-dc-103174821/,power,power-dualconsole,Sailfish,325 DC,2018,used,32,10,11066,2017-10-18T07:39:02.000Z,fiberglass,gasoline,2,600,2018,2018,outboard,221333,SE Florida,US,FL
6864621,https://www.boattrader.com/listing/2019-scout-275-lxf-103428365/,power,power-sportfish,Scout,275 Lxf,2019,new,27,9,5300,2018-10-04T07:12:43.000Z,fiberglass,gasoline,2,400,,,outboard,,Charleston,US,SC
7233260,https://www.boattrader.com/listing/2020-chaparral-347-ssx-103687164/,power,power-bowrider,Chaparral,347 SSX,2020,new,33.5,10,12000,2019-09-27T17:12:50.000Z,other,other,2,600,,,inboard-outboard,,Wayzata,US,MN
7199312,https://www.boattrader.com/listing/2019-berkshire-27slx-3--103662432/,power,power-pontoon,Berkshire,27SLX 3+,2019,new,27,8.5,,2019-08-29T09:12:18.000Z,aluminum,gasoline,1,300,,,outboard,99612,Southaven,US,MS
