id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7235033,https://www.boattrader.com/listing/2018-bryant-calandra-surf-103688567/,power,power-skiwake,Bryant,CALANDRA SURF,2018,used,23,,,2019-09-30T12:26:16.000Z,other,other,1,0,,,,69900,6492,Buford,US,GA,30518
6889131,https://www.boattrader.com/listing/2018-manitou-23-oasis-rf-vp-103445094/,power,power-pontoon,Manitou,23 Oasis RF VP,2018,used,24,,,2018-10-25T06:39:42.000Z,aluminum,other,1,0,,,,39999,140670,Houston,US,TX,77586
7026573,https://www.boattrader.com/listing/2019-manitou-21-aurora-le-bar-103535972/,power,power-pontoon,Manitou,21 Aurora LE Bar,2019,new,21,,,2019-03-22T18:36:04.000Z,other,other,1,0,,,,24999,34482,Mecosta,US,MI,49332
6935861,https://www.boattrader.com/listing/2019-bennington-25qxfbwa-103472709/,power,power-pontoon,Bennington,25QXFBWA,2019,new,27,,,2018-12-12T16:08:10.000Z,aluminum,other,1,0,,,,126695,6568,Nashotah,US,WI,53058
7230425,https://www.boattrader.com/listing/2019-shallow-sport-21-sport-103685149/,power,power-flats,Shallow Sport,21 Sport,2019,new,21,,,2019-09-25T17:04:23.000Z,fiberglass,other,1,0,,,,59995,53033,Beaumont,US,TX,77702
7054014,https://www.boattrader.com/listing/1994-princecraft-22-vacanza-103557227/,power,power-deck,Princecraft,"22' Vacanza",1994,used,22,,,2019-04-17T18:45:01.000Z,other,other,1,0,,,,5995,5049,Fox Lake,US,IL,60020
6940701,https://www.boattrader.com/listing/2019-blue-wave-pure-bay-2400-103476536/,power,power-bay,Blue Wave,Pure Bay 2400,2019,new,24,,,2018-12-18T18:18:39.000Z,other,other,1,0,,,,69995,34622,St Marks,US,FL,32355
7205366,https://www.boattrader.com/listing/2015-tracker-targa-18-combo-103667968/,power,power-skifish,Tracker,Targa 18 Combo,2015,used,18,,,2019-09-04T17:04:02.000Z,aluminum,other,1,0,,,,27995,34959,Marrero,US,LA,70072
7259378,https://www.boattrader.com/listing/2018-bryant-calandra-103707300/,power,power-bowrider,Bryant,Calandra,2018,used,23,,,2019-10-22T17:32:40.000Z,fiberglass,other,1,0,,,,67490,140799,Seattle,US,WA,98119
7221423,https://www.boattrader.com/listing/2012-mastercraft-x-55-103679089/,power,power-skiwake,Mastercraft,X-55,2012,used,25,102,,2019-09-17T17:08:24.000Z,other,other,1,0,,,,64900,28107,Fort Worth,US,TX,76118
