id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
6512612,https://www.boattrader.com/listing/1988-pace-covertible-103181988/,power,power-convertible,Pace,Covertible,1988,used,40,14,,2017-10-28T08:21:21.000Z,fiberglass,gasoline,2,870,2004,2004,inboard,39000,17181,US,NY
6831490,https://www.boattrader.com/listing/2011-carolina-skiff-23-ultra-elite-ss-103405858/,power,power-saltfish,Carolina Skiff,23 Ultra Elite SS,2011,used,23,8.33,2800,2018-09-04T14:53:51.000Z,fiberglass,gasoline,1,250,2011,2011,outboard-4s,32900,5329,US,MD
6885628,https://www.boattrader.com/listing/2019-blue-wave-2800-pure-hybrid-103443398/,power,power-center,Blue Wave,2800 Pure Hybrid,2019,new,27.16,9.17,3650,2018-10-23T10:12:07.000Z,fiberglass,gasoline,2,400,,,multiple,119980,12680,US,AL
7008035,https://www.boattrader.com/listing/2019-glastron-gt180-103522070/,power,power-runabout,Glastron,GT180,2019,new,17.83,7.42,2010,2019-03-06T14:20:55.000Z,other,other,1,0,,,outboard-4s,29388,12942,US,MI
7200589,https://www.boattrader.com/listing/2012-mastercraft-x-30-103663299/,power,power-skiwake,Mastercraft,X-30,2012,used,23.33,8.5,,2019-08-30T09:39:59.000Z,fiberglass,gasoline,1,320,,,,59000,35081,US,FL
7198204,https://www.boattrader.com/listing/2017-monterey-217br-103666401/,power,power-other,Monterey,217BR,2017,used,21,8.5,3900,2019-08-28T10:39:33.000Z,other,gasoline,1,250,,,outboard,40969,44203,US,FL
7202585,https://www.boattrader.com/listing/1987-sea-ray-268-sundancer-103664624/,power,power-cuddy,Sea Ray,268 Sundancer,1987,used,26,8.75,,2019-09-02T16:07:44.000Z,fiberglass,gasoline,1,0,,,inboard-outboard,6995,5867,US,MD
6851717,https://www.boattrader.com/listing/2019-glastron-gtd-180-103419524/,power,power-deck,Glastron,GTD 180,2019,new,20,8,2475,2018-09-21T12:22:53.000Z,other,gasoline,1,115,,,outboard-4s,30388,12942,US,MI
6772213,https://www.boattrader.com/listing/2019-glastron-gtd-205-103359931/,power,power-bowrider,Glastron,GTD 205,2019,new,20,8.5,3800,2018-07-11T14:48:06.000Z,fiberglass,gasoline,1,250,,,inboard-outboard,43688,12942,US,MI
7195391,https://www.boattrader.com/listing/2001-cobalt-226-103659420/,power,power-bowrider,Cobalt,226,2001,used,22,8.5,,2019-08-26T07:40:37.000Z,other,other,1,0,,,,21995,46741,US,MN
