id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state,zip
7047946,https://www.boattrader.com/listing/2019-hurricane-sundeck-sd-2200-ob-103552629/,power,power-deck,Hurricane,SUNDECK SD 2200 OB,2019,new,22,9,,2019-04-12T15:22:55.000Z,fiberglass,other,1,0,,,,54900,Vero Beach,US,FL,32960
7153291,https://www.boattrader.com/listing/2019-hurricane-sundeck-sd-2690-ob-103628608/,power,power-deck,Hurricane,SunDeck SD 2690 OB,2019,new,26,9,,2019-07-19T19:02:03.000Z,fiberglass,other,1,0,,,,89999,Fort Lauderdale,US,FL,33315
7238144,https://www.boattrader.com/listing/2020-sportsman-heritage-231-center-console-103692114/,power,power-center,Sportsman,Heritage 231 Center Console,2020,new,23,9,,2019-10-02T19:02:36.000Z,fiberglass,other,1,0,,,,69070,Vero Beach,US,FL,32960
5119796,https://www.boattrader.com/listing/2012-alumacraft-mv1860-sc-102537252/,power,power-aluminum,Alumacraft,MV1860 SC,2012,new,18,72,,2015-06-09T22:09:30.000Z,aluminum,other,1,0,,,,19995,Six Mile,US,SC,29682
7153302,https://www.boattrader.com/listing/2019-cobia-301-cc-center-console-103628613/,power,power-center,Cobia,301 CC Center Console,2019,new,30,10,,2019-07-19T19:02:05.000Z,fiberglass,other,1,0,,,,,Vero Beach,US,FL,32960
6943862,https://www.boattrader.com/listing/2019-hurricane-sundeck-sd-2486-ob-103478800/,power,power-deck,Hurricane,SunDeck SD 2486 OB,2019,new,24,9,,2018-12-22T18:09:00.000Z,fiberglass,other,1,0,,,,67900,Islamorada,US,FL,33036
7047945,https://www.boattrader.com/listing/2019-hurricane-sundeck-sd-2200-ob-103552630/,power,power-deck,Hurricane,SUNDECK SD 2200 OB,2019,new,22,9,,2019-04-12T15:22:52.000Z,fiberglass,other,1,0,,,,54900,Fort Lauderdale,US,FL,33315
6949537,https://www.boattrader.com/listing/2019-sportsman-heritage-241-center-console-103482864/,power,power-center,Sportsman,Heritage 241 Center Console,2019,new,24,9,,2019-01-06T18:07:17.000Z,fiberglass,other,1,0,,,,82900,Islamorada,US,FL,33036
7215073,https://www.boattrader.com/listing/2020-sportsman-open-212-center-console-103674658/,power,power-center,Sportsman,Open 212 Center Console,2020,new,21,9,,2019-09-11T19:02:44.000Z,fiberglass,other,1,0,,,,55049,West Palm Beach,US,FL,33415
7253198,https://www.boattrader.com/listing/2019-sportsman-masters-247-bay-boat-103702028/,power,power-bay,Sportsman,Masters 247 Bay Boat,2019,used,24,9,,2019-10-16T19:02:13.000Z,fiberglass,other,1,0,,,,68500,Miami,US,FL,33166
7221445,https://www.boattrader.com/listing/2020-cobia-262-center-console-103679124/,power,power-center,Cobia,262 Center Console,2020,new,26,9,,2019-09-17T19:02:17.000Z,fiberglass,other,1,0,,,,,Vero Beach,US,FL,32960
7158970,https://www.boattrader.com/listing/2019-cobia-301-cc-center-console-103632269/,power,power-center,Cobia,301 CC Center Console,2019,new,30,10,,2019-07-25T19:02:08.000Z,fiberglass,other,1,0,,,,,Vero Beach,US,FL,32960
7172356,https://www.boattrader.com/listing/1991-bayliner-capri-103642436/,power,power-bowrider,Bayliner,CAPRI,1991,used,18,,,2019-08-05T19:01:22.000Z,fiberglass,other,1,0,,,,4900,Lake Havasu City,US,,86403
7253196,https://www.boattrader.com/listing/2020-sportsman-open-232-center-console-103702019/,power,power-center,Sportsman,Open 232 Center Console,2020,new,23,9,,2019-10-16T19:02:12.000Z,fiberglass,other,1,0,,,,71235,Islamorada,US,FL,33036
7099612,https://www.boattrader.com/listing/2019-hurricane-sundeck-sd-2690-ob-103592584/,power,power-deck,Hurricane,SunDeck SD 2690 OB,2019,new,26,9,,2019-06-01T01:13:10.000Z,fiberglass,other,1,0,,,,89999,West Palm Beach,US,FL,33415
7192537,https://www.boattrader.com/listing/2020-cobia-240-cc-center-console-103657304/,power,power-center,Cobia,240 CC Center Console,2020,new,24,9,,2019-08-22T19:02:13.000Z,fiberglass,other,1,0,,,,,Vero Beach,US,FL,32960
7253193,https://www.boattrader.com/listing/2020-sportsman-open-232-center-console-103702018/,power,power-center,Sportsman,Open 232 Center Console,2020,new,23,9,,2019-10-16T19:02:09.000Z,fiberglass,other,1,0,,,,71235,West Palm Beach,US,FL,33415
7176050,https://www.boattrader.com/listing/2020-cobia-237-center-console-103646076/,power,power-center,Cobia,237 Center Console,2020,new,24,9,,2019-08-07T19:01:54.000Z,fiberglass,other,1,0,,,,,Vero Beach,US,FL,32960
6947802,https://www.boattrader.com/listing/2019-sportsman-heritage-231-center-console-103481588/,power,power-center,Sportsman,Heritage 231 Center Console,2019,new,23,9,,2019-01-03T18:06:26.000Z,fiberglass,other,1,0,,,,64999,Vero Beach,US,FL,32960
6641839,https://www.boattrader.com/listing/2018-starcraft-ex22-fd-103266243/,power,power-pontoon,Starcraft,EX22 FD,2018,new,22,102,,2018-03-09T07:44:49.000Z,aluminum,other,1,0,,,,29990,Lincolnton,US,GA,30817
7215076,https://www.boattrader.com/listing/2020-sportsman-open-212-center-console-103674655/,power,power-center,Sportsman,Open 212 Center Console,2020,new,21,9,,2019-09-11T19:02:46.000Z,fiberglass,other,1,0,,,,55049,Miami,US,FL,33166
7181871,https://www.boattrader.com/listing/2020-sylvan-820-pf-103650269/,power,power-pontoon,Sylvan,820 PF,2020,new,20,8,,2019-08-13T19:02:00.000Z,aluminum,other,1,0,,,,25385,Lincolnton,US,GA,30817
7163452,https://www.boattrader.com/listing/2004-centurion-sport-bowrider-103635707/,power,power-skiwake,Centurion,Sport Bowrider,2004,used,22,,,2019-07-29T19:02:44.000Z,fiberglass,other,1,0,,,,28900,Lake Havasu City,US,,86403
6939821,https://www.boattrader.com/listing/2019-starcraft-sls-3-103475790/,power,power-pontoon,Starcraft,SLS-3,2019,new,25,102,,2018-12-17T18:11:56.000Z,aluminum,other,1,0,,,,41485,Lincolnton,US,GA,30817
7208970,https://www.boattrader.com/listing/2004-scout-220-bay-scout-103670081/,power,power-bay,Scout,220 Bay Scout,2004,used,22,9,,2019-09-07T19:02:16.000Z,fiberglass,other,1,0,,,,27900,Miami,US,FL,33166
7086952,https://www.boattrader.com/listing/2018-hurricane-fundeck-fd-236sb-103583036/,power,power-deck,Hurricane,FunDeck FD 236SB,2018,used,24,9,,2019-05-17T19:07:55.000Z,fiberglass,other,1,0,,,,39900,Fort Lauderdale,US,FL,33315
7200063,https://www.boattrader.com/listing/2020-sylvan-l3-party-fish-103662972/,power,power-pontoon,Sylvan,L3 Party Fish,2020,new,24,102,,2019-08-29T19:02:47.000Z,aluminum,other,1,0,,,,44485,Lincolnton,US,GA,30817
7253197,https://www.boattrader.com/listing/2020-sportsman-open-232-center-console-103702020/,power,power-center,Sportsman,Open 232 Center Console,2020,new,23,9,,2019-10-16T19:02:13.000Z,fiberglass,other,1,0,,,,71235,Fort Lauderdale,US,FL,33315
7015733,https://www.boattrader.com/listing/2019-nauticstar-215xts-103528349/,power,power-bay,NauticStar,215XTS,2019,new,21,98,,2019-03-12T19:06:30.000Z,fiberglass,other,1,0,,,,41990,Lincolnton,US,GA,30817
7192536,https://www.boattrader.com/listing/2020-cobia-240-cc-center-console-103657310/,power,power-center,Cobia,240 CC Center Console,2020,new,24,9,,2019-08-22T19:02:13.000Z,fiberglass,other,1,0,,,,,Islamorada,US,FL,33036
6947797,https://www.boattrader.com/listing/2019-sportsman-heritage-231-center-console-103481593/,power,power-center,Sportsman,Heritage 231 Center Console,2019,new,23,9,,2019-01-03T18:06:23.000Z,fiberglass,other,1,0,,,,64999,Islamorada,US,FL,33036
7192534,https://www.boattrader.com/listing/2020-cobia-240-cc-center-console-103657306/,power,power-center,Cobia,240 CC Center Console,2020,new,24,9,,2019-08-22T19:02:06.000Z,fiberglass,other,1,0,,,,,West Palm Beach,US,FL,33415
7153299,https://www.boattrader.com/listing/2019-cobia-301-cc-center-console-103628606/,power,power-center,Cobia,301 CC Center Console,2019,new,30,10,,2019-07-19T19:02:05.000Z,fiberglass,other,1,0,,,,,Islamorada,US,FL,33036
