id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7193487,https://www.boattrader.com/listing/2019-skeeter-fx-series-103657986/,power,power-bass,Skeeter,FX Series,2019,new,21,,,2019-08-23T12:42:05.000Z,other,other,1,Mannford,US,OK,74044
7194165,https://www.boattrader.com/listing/2019-bayliner-deck-boat-103658593/,power,power-deck,Bayliner,Deck Boat,2019,new,20,,,2019-08-23T23:08:47.000Z,other,other,1,Durant,US,OK,74701
7144034,https://www.boattrader.com/listing/2020-bennington-22ssrxp-103622218/,power,power-pontoon,Bennington,22SSRXP,2020,used,1,102,,2019-07-10T23:31:04.000Z,other,other,1,Rochester,US,MN,55901
7205454,https://www.boattrader.com/listing/2020-bennington-23ssbxpsg-103668015/,power,power-pontoon,Bennington,23SSBXPSG,2020,used,25,,,2019-09-04T23:22:28.000Z,other,other,1,Rochester,US,MN,55901
7235487,https://www.boattrader.com/listing/2020-atx-24-type-s-phantom-edition-on-order-103689743/,power,power-other,ATX,24 Type-S Phantom Edition - On Order,2020,new,24,,,2019-09-30T23:35:25.000Z,other,other,1,Kingston,US,OK,73439
7239621,https://www.boattrader.com/listing/2020-yamaha-boats-exr-103693004/,power,power-pwc,Yamaha Boats,EXR,2020,used,10,,,2019-10-03T23:33:17.000Z,other,other,1,Rochester,US,MN,55901
7067697,https://www.boattrader.com/listing/2018-bennington-23sslx-103567326/,power,power-pontoon,Bennington,23SSLX,2018,used,1,102,,2019-04-30T10:12:53.000Z,other,other,1,Rochester,US,MN,55901
7193426,https://www.boattrader.com/listing/2019-bayliner-element-103657934/,power,power-bowrider,Bayliner,Element,2019,new,21,,,2019-08-23T12:41:55.000Z,other,other,1,Durant,US,OK,74701
7193437,https://www.boattrader.com/listing/2019-bayliner-bowrider-103657927/,power,power-bowrider,Bayliner,Bowrider,2019,new,19,,,2019-08-23T12:41:56.000Z,other,other,1,Durant,US,OK,74701
7166438,https://www.boattrader.com/listing/2006-bennington-2250rsi-103637850/,power,power-pontoon,Bennington,2250RSi,2006,used,24,,,2019-07-31T23:35:11.000Z,other,other,1,Rochester,US,MN,55901
7246083,https://www.boattrader.com/listing/2020-tige-zx-103697492/,power,power-skiwake,Tige,ZX,2020,new,25,,,2019-10-09T23:22:57.000Z,other,other,1,Oklahoma City,US,OK,73127
