id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state,zip
7038112,https://www.boattrader.com/listing/2018-sea-doo-spark-3-up-rotax-900-ho-ace-103544902/,power,power-pwc,Sea-Doo,SPARK® 3-up Rotax 900 HO ACE,2018,new,10,4,,2019-04-03T15:17:15.000Z,fiberglass,gasoline,1,90,,,inboard,6599,Grand Island,US,NY,14072
6721105,https://www.boattrader.com/listing/2018-sea-doo-spark-3-up-rotax-900-ho-ace-ibr-conv-103324744/,power,power-pwc,Sea-Doo,SPARK® 3-up Rotax 900 HO ACE iBR® & CONV,2018,new,10,3.83,421,2018-05-23T08:27:10.000Z,fiberglass,gasoline,1,90,,,outboard,6599,Grand Island,US,NY,14072
7038140,https://www.boattrader.com/listing/2019-sea-doo-wake-155-103544916/,power,power-pwc,Sea-Doo,Wake 155,2019,new,10,4,,2019-04-03T15:28:07.000Z,fiberglass,gasoline,1,155,,,inboard,11999,Grand Island,US,NY,14072
7038137,https://www.boattrader.com/listing/2019-sea-doo-wake-pro-230-ibr-sound-system-103544910/,power,power-pwc,Sea-Doo,WAKE™ PRO 230 IBR & Sound System,2019,new,10,4,,2019-04-03T15:25:16.000Z,fiberglass,gasoline,1,230,,,inboard,15599,Grand Island,US,NY,14072
6934344,https://www.boattrader.com/listing/2019-sea-doo-wake-pro-230-ibr-sound-system-103471761/,power,power-pwc,Sea-Doo,WAKE™ PRO 230 IBR & Sound System,2019,new,11.32,4.17,815,2018-12-11T12:05:59.000Z,fiberglass,gasoline,1,230,,,inboard,15599,Grand Island,US,NY,14072
7075999,https://www.boattrader.com/listing/2019-sea-doo-spark-2-up-rotax-900-ace--103574686/,power,power-pwc,Sea-Doo,Spark® 2-up Rotax® 900 ACE™,2019,new,9.17,3.83,405,2019-05-08T10:25:48.000Z,fiberglass,gasoline,1,60,,,,,Grand Island,US,NY,14072
7076007,https://www.boattrader.com/listing/2019-sea-doo-spark-2-up-rotax-900-ace--103574692/,power,power-pwc,Sea-Doo,Spark® 2-up Rotax® 900 ACE™,2019,new,9.17,3.83,405,2019-05-08T10:30:08.000Z,fiberglass,gasoline,1,60,,,,5399,Grand Island,US,NY,14072
7076016,https://www.boattrader.com/listing/2019-sea-doo-spark-trixx-2-up-rotax-900-h-o-ace-ibr-sound-system-103574701/,power,power-pwc,Sea-Doo,Spark® Trixx™ 2-up Rotax® 900 H.O. ACE™ IBR & Sound System,2019,new,9.17,3.83,422,2019-05-08T10:35:14.000Z,fiberglass,gasoline,1,90,,,,8049,Grand Island,US,NY,14072
7074694,https://www.boattrader.com/listing/2011-renegade-cuddy-33-103573816/,power,power-cuddy,Renegade,Cuddy 33,2011,used,33,9,,2019-05-07T08:47:56.000Z,fiberglass,gasoline,2,600,,,,117995,Fort Myers,US,FL,33905
7075968,https://www.boattrader.com/listing/2019-larson-escape-23-ttt-103574667/,power,power-pontoon,Larson Escape,23 TTT,2019,new,23,8.5,3335,2019-05-08T10:07:14.000Z,aluminum,gasoline,1,200,2019,2019,outboard,57178,Fort Myers,US,FL,33905
