id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6904229,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-103454597/,power,power-jon,Tracker,Grizzly 2072 CC,2019,new,21.42,8.25,1388,2018-11-08T07:22:05.000Z,aluminum,,1,115,,,outboard-4s,San Antonio,US,TX,78257
6925313,https://www.boattrader.com/listing/2019-tracker-grizzly-1754-jon-103466734/,power,power-jon,Tracker,Grizzly 1754 Jon,2019,new,17.08,6.5,670,2018-12-01T06:17:35.000Z,aluminum,,1,0,,,outboard,San Antonio,US,TX,78257
6866801,https://www.boattrader.com/listing/2019-tracker-grizzly-1648-sc-103429917/,power,power-jon,Tracker,Grizzly 1648 SC,2019,new,16.08,6,715,2018-10-05T12:20:10.000Z,aluminum,,1,40,,,outboard,Garland,US,TX,75043
6881851,https://www.boattrader.com/listing/2019-tracker-grizzly-1754-sc-103440737/,power,power-jon,Tracker,Grizzly 1754 SC,2019,new,17.08,6.5,882,2018-10-19T12:17:32.000Z,aluminum,,1,40,,,outboard,Garland,US,TX,75043
6904198,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-sportsman-103454540/,power,power-jon,Tracker,Grizzly 2072 CC Sportsman,2019,new,21.42,8.5,1930,2018-11-08T07:21:59.000Z,aluminum,,1,150,,,outboard-4s,Garland,US,TX,75043
6904274,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-sportsman-103454552/,power,power-jon,Tracker,Grizzly 2072 CC Sportsman,2019,new,21.42,8.5,1930,2018-11-08T07:22:11.000Z,aluminum,,1,115,,,outboard-4s,Garland,US,TX,75043
6866834,https://www.boattrader.com/listing/2019-tracker-grizzly-1648-sc-103429953/,power,power-jon,Tracker,Grizzly 1648 SC,2019,new,16.08,6,715,2018-10-05T12:20:17.000Z,aluminum,,1,50,,,outboard,Rancho Cucamonga,US,CA,91730
6897199,https://www.boattrader.com/listing/2019-nitro-z19-103450490/,power,power-bass,Nitro,Z19,2019,new,19.33,7.83,1850,2018-11-01T12:17:08.000Z,fiberglass,gasoline,1,200,,,outboard,Rancho Cucamonga,US,CA,91730
6798926,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-dlx-103380224/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 DLX",2019,new,26.17,8.5,2095,2018-08-07T12:15:21.000Z,aluminum,,1,150,,,outboard,Olathe,US,KS,66061
6820469,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-24-dlx-103396500/,power,power-pontoon,Sun Tracker,Party Barge 24 DLX,2019,new,26.17,8.5,2200,2018-08-25T12:15:06.000Z,aluminum,,1,150,,,outboard,Olathe,US,KS,66061
6880390,https://www.boattrader.com/listing/2019-nitro-z19-103439731/,power,power-bass,Nitro,Z19,2019,new,19.33,7.83,1850,2018-10-18T12:17:05.000Z,fiberglass,gasoline,1,200,,,outboard,Olathe,US,KS,66061
6866341,https://www.boattrader.com/listing/2019-tracker-grizzly-1754-sc-103429473/,power,power-jon,Tracker,Grizzly 1754 SC,2019,new,17.08,6.5,882,2018-10-05T12:18:30.000Z,aluminum,,1,60,,,outboard,Olathe,US,KS,66061
6889938,https://www.boattrader.com/listing/2019-tracker-grizzly-1548-t-sportsman-103445603/,power,power-jon,Tracker,Grizzly 1548 T Sportsman,2019,new,16.33,6,655,2018-10-25T12:17:26.000Z,aluminum,,1,25,,,outboard,Olathe,US,KS,66061
6904243,https://www.boattrader.com/listing/2019-tracker-grizzly-1860-cc-sportsman-103454585/,power,power-jon,Tracker,Grizzly 1860 CC Sportsman,2019,new,19.5,7,1440,2018-11-08T07:22:07.000Z,aluminum,,1,60,,,outboard,Olathe,US,KS,66061
6932945,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-103470845/,power,power-jon,Tracker,Grizzly 2072 CC,2019,new,21.42,8.25,1388,2018-12-10T06:18:09.000Z,aluminum,,1,115,,,outboard-4s,Foxborough,US,MA,02035
6866576,https://www.boattrader.com/listing/2019-tracker-grizzly-1860-cc-sportsman-103429687/,power,power-jon,Tracker,Grizzly 1860 CC Sportsman,2019,new,19.5,7,1440,2018-10-05T12:19:22.000Z,aluminum,,1,90,,,outboard,Prattville,US,AL,36066
6874404,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103435039/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2018-10-12T12:17:06.000Z,aluminum,,1,150,,,outboard,Prattville,US,AL,36066
6883076,https://www.boattrader.com/listing/2019-tracker-grizzly-1754-sc-103441722/,power,power-jon,Tracker,Grizzly 1754 SC,2019,new,17.08,6.5,882,2018-10-20T12:16:28.000Z,aluminum,,1,60,,,outboard,Prattville,US,AL,36066
6898374,https://www.boattrader.com/listing/2019-tracker-pro-team-195-txw-103451281/,power,power-bass,Tracker,Pro Team 195 TXW,2019,new,18.58,8.17,1302,2018-11-02T12:17:12.000Z,aluminum,,1,150,,,outboard,Prattville,US,AL,36066
6889884,https://www.boattrader.com/listing/2019-tracker-grizzly-1860-jon-103445531/,power,power-jon,Tracker,Grizzly 1860 Jon,2019,new,18.08,7,794,2018-10-25T12:17:20.000Z,aluminum,,1,0,,,outboard,Prattville,US,AL,36066
6943162,https://www.boattrader.com/listing/2019-tracker-grizzly-1754-jon-103478260/,power,power-jon,Tracker,Grizzly 1754 Jon,2019,new,17.08,6.5,670,2018-12-21T12:16:53.000Z,aluminum,,1,0,,,outboard,Prattville,US,AL,36066
6810866,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103389159/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2018-08-16T12:15:44.000Z,aluminum,,1,150,,,outboard,Miami,US,FL,33172
6840877,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103412169/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2018-09-12T12:15:42.000Z,aluminum,,1,150,,,outboard,Miami,US,FL,33172
6900931,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-dlx-103452956/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 DLX",2019,new,26.17,8.5,2095,2018-11-06T07:13:27.000Z,aluminum,,1,150,,,outboard,Miami,US,FL,33172
6904188,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-24-xp3-103454506/,power,power-pontoon,Sun Tracker,Party Barge 24 XP3,2019,new,26.17,8.5,3195,2018-11-08T07:21:58.000Z,aluminum,,1,150,,,outboard,Miami,US,FL,33172
6802098,https://www.boattrader.com/listing/2019-tracker-grizzly-1448-jon-103382977/,power,power-jon,Tracker,Grizzly 1448 Jon,2019,new,14,6,562,2018-08-08T12:21:23.000Z,aluminum,,1,0,,,outboard,Independence,US,MO,64055
6829850,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103402870/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2018-09-03T12:15:40.000Z,aluminum,,1,150,,,outboard,Independence,US,MO,64055
